City,Path,Year
Beijing,Beijing_2020/Beijing_2020.shp,2020
Chicago,Chicago_2015/Chicago_2015.shp,2018
Glasgow,Glasgow_2020/Glasgow_2020.shp,2020
LosAngeles,LosAngeles_2017/LosAngeles_2017.shp,2018
